task,task_type,split,metric,ablation,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm,component,contribution,contribution_ci95_low,contribution_ci95_high
estrogen-beta,clf,random,roc_auc,mat_noattention,mat,0.8522576830497088,0.892889893788032,5,-0.040632210738322946,-0.05252665874387007,-0.028737762732775823,-9.484517698103383,0.0006895583718525928,0.0,0.0625,True,0.0020686751155577785,0.1875,True,False,True,False,self-attention,0.040632210738322946,0.028737762732775823,0.05252665874387007
estrogen-beta,clf,random,pr_auc,mat_nograph,mat,0.904503012600381,0.9170221380360022,5,-0.012519125435621193,-0.023475525961232833,-0.0015627249100095518,-3.172452892337771,0.033778335037165284,0.0,0.0625,True,0.06755667007433057,0.1875,True,False,False,False,graph structure,0.012519125435621193,0.0015627249100095518,0.023475525961232833
estrogen-beta,clf,random,pr_auc,mat_nodistance,mat,0.9126443362854216,0.9170221380360022,5,-0.004377801750580512,-0.015153556835016395,0.006397953333855369,-1.1279697939201934,0.32240830779406593,3.0,0.3125,True,0.32240830779406593,0.3125,False,False,False,False,3D distances,0.004377801750580512,-0.006397953333855369,0.015153556835016395
estrogen-beta,clf,random,pr_auc,mat_noattention,mat,0.855650475930368,0.9170221380360022,5,-0.06137166210563414,-0.07358660692517133,-0.049156717286096954,-13.949719247073702,0.0001531635369824103,0.0,0.0625,True,0.0004594906109472309,0.1875,True,False,True,False,self-attention,0.06137166210563414,0.049156717286096954,0.07358660692517133
estrogen-beta,clf,random,f1,mat_nograph,mat,0.842827068584751,0.8627417967997889,5,-0.019914728215037945,-0.03920922177086226,-0.0006202346592136324,-2.865695827361889,0.04566631573955294,0.0,0.0625,True,0.09133263147910588,0.1875,True,False,False,False,graph structure,0.019914728215037945,0.0006202346592136324,0.03920922177086226
estrogen-beta,clf,random,f1,mat_nodistance,mat,0.8542200209832738,0.8627417967997889,5,-0.008521775816515231,-0.023545053856338604,0.006501502223308142,-1.5749054694081168,0.1903977680707054,0.0,0.0625,True,0.1903977680707054,0.1875,False,False,False,False,3D distances,0.008521775816515231,-0.006501502223308142,0.023545053856338604
estrogen-beta,clf,random,f1,mat_noattention,mat,0.8357609734562932,0.8627417967997889,5,-0.02698082334349574,-0.03902046243722917,-0.014941184249762313,-6.222011666881772,0.0033971148204475494,0.0,0.0625,True,0.010191344461342648,0.1875,True,False,True,False,self-attention,0.02698082334349574,0.014941184249762313,0.03902046243722917
freesolv,reg,random,rmse,mat_nograph,mat,0.3759514864682525,0.3685804545577206,5,0.007371031910531889,-0.010204628113875243,0.024946691934939022,1.164409498125996,0.30897138991156153,4.0,0.4375,True,0.30897138991156153,0.4375,False,False,False,False,graph structure,-0.007371031910531889,-0.024946691934939022,0.010204628113875243
freesolv,reg,random,rmse,mat_nodistance,mat,0.37988215659402164,0.3685804545577206,5,0.011301702036300976,-0.00410381145928829,0.026707215531890243,2.036839298350931,0.11134302456666262,2.0,0.1875,True,0.22268604913332524,0.375,False,False,False,False,3D distances,-0.011301702036300976,-0.026707215531890243,0.00410381145928829
freesolv,reg,random,rmse,mat_noattention,mat,0.4576918850427464,0.3685804545577206,5,0.08911143048502573,0.04260201285273687,0.1356208481173146,5.319632185967401,0.00600705319633978,0.0,0.0625,True,0.018021159589019342,0.1875,True,False,True,False,self-attention,-0.08911143048502573,-0.1356208481173146,-0.04260201285273687
freesolv,reg,random,mae,mat_nograph,mat,0.2645525202331317,0.2641047468079811,5,0.00044777342515061046,-0.011741968618654789,0.012637515468956011,0.10198889607584812,0.9236736362048767,6.0,0.8125,True,0.9236736362048767,0.8125,False,False,False,False,graph structure,-0.00044777342515061046,-0.012637515468956011,0.011741968618654789
freesolv,reg,random,mae,mat_nodistance,mat,0.27130555607958484,0.2641047468079811,5,0.0072008092716037645,-0.004979329216537749,0.019380947759745276,1.6414141493606076,0.17605568768516278,2.0,0.1875,True,0.35211137537032555,0.375,False,False,False,False,3D distances,-0.0072008092716037645,-0.019380947759745276,0.004979329216537749
freesolv,reg,random,mae,mat_noattention,mat,0.33659927907612425,0.2641047468079811,5,0.0724945322681432,0.038882838054598357,0.10610622648168805,5.988305379393205,0.003910395331913089,0.0,0.0625,True,0.011731185995739267,0.1875,True,False,True,False,self-attention,-0.0724945322681432,-0.10610622648168805,-0.038882838054598357
freesolv,reg,random,r2,mat_nograph,mat,0.8522819693242345,0.858507480592076,5,-0.006225511267841521,-0.018910820316492924,0.00645979778080988,-1.3625833017280655,0.24468606078633817,3.0,0.3125,True,0.24616014142653767,0.625,False,False,False,False,graph structure,0.006225511267841521,-0.00645979778080988,0.018910820316492924
freesolv,reg,random,r2,mat_nodistance,mat,0.8494052765593004,0.858507480592076,5,-0.009102204032775663,-0.0220678723920065,0.003863464326455174,-1.9491297427270349,0.12308007071326883,3.0,0.3125,True,0.24616014142653767,0.625,False,False,False,False,3D distances,0.009102204032775663,-0.003863464326455174,0.0220678723920065
freesolv,reg,random,r2,mat_noattention,mat,0.7793317394398878,0.858507480592076,5,-0.07917574115218831,-0.12627759824761967,-0.03207388405675695,-4.667058000006612,0.009539210167162795,0.0,0.0625,True,0.028617630501488384,0.1875,True,False,True,False,self-attention,0.07917574115218831,0.03207388405675695,0.12627759824761967
estrogen-beta,clf,scaffold,roc_auc,mat_nograph,mat,0.8454316919560352,0.8521335868986831,5,-0.006701894942648034,-0.02484794087583197,0.011444150990535898,-1.025426887906049,0.3631228685005613,4.0,0.4375,True,0.7262457370011226,0.875,False,False,False,False,graph structure,0.006701894942648034,-0.011444150990535898,0.02484794087583197
estrogen-beta,clf,scaffold,roc_auc,mat_nodistance,mat,0.8583200137310488,0.8521335868986831,5,0.00618642683236581,-0.010912044864509519,0.02328489852924114,1.0045502780535214,0.3719518598242904,5.0,0.625,False,0.7262457370011226,0.875,False,False,False,False,3D distances,-0.00618642683236581,-0.02328489852924114,0.010912044864509519
estrogen-beta,clf,scaffold,roc_auc,mat_noattention,mat,0.8333034751941298,0.8521335868986831,5,-0.018830111704553266,-0.0382691382864755,0.0006089148773689643,-2.689474766244437,0.054687855561521406,1.0,0.125,True,0.16406356668456423,0.375,False,False,False,False,self-attention,0.018830111704553266,-0.0006089148773689643,0.0382691382864755
estrogen-beta,clf,scaffold,pr_auc,mat_nograph,mat,0.872760141327323,0.8751069633551214,5,-0.0023468220277983454,-0.024750736466164963,0.020057092410568272,-0.2908341106986539,0.7856347213514384,6.0,0.8125,True,0.7856347213514384,0.8125,False,False,False,False,graph structure,0.0023468220277983454,-0.020057092410568272,0.024750736466164963
estrogen-beta,clf,scaffold,pr_auc,mat_nodistance,mat,0.8871610515961297,0.8751069633551214,5,0.012054088241008242,-0.004787790538884267,0.02889596702090075,1.987160383455941,0.11783256620120118,2.0,0.1875,False,0.23566513240240236,0.375,False,False,False,False,3D distances,-0.012054088241008242,-0.02889596702090075,0.004787790538884267
estrogen-beta,clf,scaffold,pr_auc,mat_noattention,mat,0.8422248808965893,0.8751069633551214,5,-0.03288208245853201,-0.05874978329800584,-0.00701438161905818,-3.529316248755512,0.024245497221524963,1.0,0.125,True,0.07273649166457488,0.375,True,False,False,False,self-attention,0.03288208245853201,0.00701438161905818,0.05874978329800584
estrogen-beta,clf,scaffold,f1,mat_nograph,mat,0.7934469240454066,0.8027330002042472,5,-0.009286076158840584,-0.02367752997736343,0.005105377659682261,-1.7914993872629636,0.1476925381995453,0.0,0.0625,True,0.4430776145986359,0.1875,False,False,False,False,graph structure,0.009286076158840584,-0.005105377659682261,0.02367752997736343
estrogen-beta,clf,scaffold,f1,mat_nodistance,mat,0.8078117901594307,0.8027330002042472,5,0.005078789955183382,-0.018148545316088983,0.028306125226455744,0.6070856319380201,0.576567380519929,6.0,0.8125,False,0.7333931419400002,1.0,False,False,False,False,3D distances,-0.005078789955183382,-0.028306125226455744,0.018148545316088983
estrogen-beta,clf,scaffold,f1,mat_noattention,mat,0.818036905422189,0.8027330002042472,5,0.01530390521794176,-0.026479422221320437,0.05708723265720396,1.016923623292835,0.3666965709700001,6.0,0.8125,False,0.7333931419400002,1.0,False,False,False,False,self-attention,-0.01530390521794176,-0.05708723265720396,0.026479422221320437
freesolv,reg,scaffold,rmse,mat_nograph,mat,0.4455018624480404,0.4314877542857346,5,0.014014108162305883,-0.011694571537844754,0.03972278786245652,1.5134733663790092,0.20471543169337922,3.0,0.3125,True,0.46344626436065256,0.625,False,False,False,False,graph structure,-0.014014108162305883,-0.03972278786245652,0.011694571537844754
