task,task_type,model,metric,random_mean,scaffold_mean,gap,gap_ci95_low,gap_ci95_high,welch_t,welch_p,n_random,n_scaffold,scaffold_worse
estrogen-alpha,clf,mat,pr_auc,0.9428429064633286,0.91946828648722,0.023374619976108568,0.007898458505519115,0.03885078144669802,3.087620642329895,0.004383547366225904,25,25,True
estrogen-alpha,clf,mat,f1,0.8796625866598283,0.8547599923180533,0.024902594341774997,0.005329160208325835,0.04447602847522416,2.5993065625141862,0.01440033085515564,25,25,True
estrogen-alpha,clf,mat_nograph,roc_auc,0.9470412217664442,0.9286746126381309,0.018366609128313338,0.009610273519216303,0.027122944737410372,4.244094804355477,0.0001330741978666159,25,25,True
estrogen-alpha,clf,mat_nograph,pr_auc,0.9370879036521086,0.9120568996397417,0.02503100401236691,0.01092692663338447,0.039135081391349344,3.603615081876587,0.0009706082004832391,25,25,True
estrogen-alpha,clf,mat_nograph,f1,0.8628037397574181,0.8406752597629032,0.022128479994514838,0.002259263330340329,0.04199769665868935,2.247853668966468,0.029919180211791904,25,25,True
esol,reg,gcn,rmse,0.4571276589498014,0.5103504665755557,-0.05322280762575432,-0.07672287174562874,-0.0297227435058799,-4.553990183442091,3.628581301470793e-05,25,25,True
esol,reg,gcn,mae,0.342418995151639,0.3886658838053314,-0.04624688865369242,-0.06494633329775058,-0.027547444009634256,-4.980117755900989,9.667657815689562e-06,25,25,True
esol,reg,gcn,r2,0.7880967501167047,0.7024854452940292,0.08561130482267543,0.029759607184955975,0.1414630024603949,3.1488361990446068,0.004050107148429136,25,25,True
esol,reg,mat,rmse,0.385448560809561,0.4994069181587053,-0.11395835734914428,-0.15905967173504293,-0.06885704296324563,-5.157830450551749,1.447235550227787e-05,25,25,True
esol,reg,mat,mae,0.29381306355934095,0.38952780249215224,-0.0957147389328113,-0.13686700911759692,-0.054562468748025686,-4.755497365525021,4.926438049902376e-05,25,25,True
esol,reg,mat,r2,0.8486095947293856,0.6662025213138378,0.18240707341554774,0.051740760177125894,0.31307338665396955,2.878561379141389,0.00818138768446334,25,25,True
