task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
metstab-high,clf,random,f1,mat_large_pretrained,mat,0.21382858941279567,0.3358970099667774,5,-0.1220684205539817,-0.30725185863103877,0.06311501752307533,-1.8301651177104816,0.1412004971870653,1.0,0.25,True,0.2824009943741306,0.25,False,False,False,False
metstab-high,clf,random,f1,mat_large_scratch,mat,0.199009009009009,0.3358970099667774,5,-0.13688800095776837,-0.3700527608899079,0.09627675897437118,-1.6300148458545842,0.1784318339342851,0.0,0.125,True,0.2824009943741306,0.25,False,False,False,False
metstab-low,clf,random,roc_auc,mat_large_pretrained,mat,0.7591676201372998,0.7498236079328757,5,0.009344012204424046,-0.13264041160253404,0.15132843601138213,0.1827181901527023,0.8639062371824253,5.0,0.625,False,0.8639062371824253,0.875,False,False,False,False
metstab-low,clf,random,roc_auc,mat_large_scratch,mat,0.6917095728451563,0.7498236079328757,5,-0.058114035087719354,-0.20867336633238065,0.09244529615694196,-1.0716733856926777,0.3442212283641969,4.0,0.4375,True,0.6884424567283938,0.875,False,False,False,False
metstab-low,clf,random,pr_auc,mat_large_pretrained,mat,0.7823892676292578,0.7771668107918767,5,0.005222456837381162,-0.12193943685289525,0.13238435052765757,0.11402680710756397,0.9147107613575672,5.0,0.625,False,0.9147107613575672,0.625,False,False,False,False
metstab-low,clf,random,pr_auc,mat_large_scratch,mat,0.7024544574817613,0.7771668107918767,5,-0.07471235331011536,-0.20204086176312533,0.05261615514289461,-1.6291304293588833,0.17861757812368825,3.0,0.3125,True,0.3572351562473765,0.625,False,False,False,False
metstab-low,clf,random,f1,mat_large_pretrained,mat,0.7055906582616112,0.7157512836247767,5,-0.010160625363165443,-0.14118276759796503,0.12086151687163413,-0.21531031376936677,0.8400581231230952,7.0,1.0,True,1.0,1.0,False,False,False,False
metstab-low,clf,random,f1,mat_large_scratch,mat,0.7116108537826316,0.7157512836247767,5,-0.004140429842145066,-0.0645225305630041,0.05624167087871396,-0.19038218331922618,0.8582814017465656,7.0,1.0,True,1.0,1.0,False,False,False,False
metstab-high,clf,scaffold,roc_auc,mat_large_pretrained,mat,0.7437820121127231,0.7675193331161729,5,-0.02373732100344996,-0.07140816377326631,0.023933521766366393,-1.3825089904277232,0.2389913443432235,3.0,0.3125,True,0.2389913443432235,0.3125,False,False,False,False
metstab-high,clf,scaffold,roc_auc,mat_large_scratch,mat,0.6928717174047649,0.7675193331161729,5,-0.07464761571140813,-0.12299103549577284,-0.026304195927043417,-4.287139970260359,0.01277508430794249,0.0,0.0625,True,0.02555016861588498,0.125,True,False,True,False
