task,task_type,split,model,metric,n,mean,std,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high,median,min,max
estrogen-beta,clf,scaffold,mat_large_pretrained,roc_auc,5,0.8436748804782714,0.03495440541204823,0.8002732536995123,0.8870765072570306,0.8159997742612044,0.8713499866953388,0.843095665415783,0.8032742223102833,0.8822236180904522
estrogen-beta,clf,scaffold,mat_large_pretrained,pr_auc,5,0.8426959538118309,0.04355248208685144,0.788618404772173,0.8967735028514888,0.8084818350456505,0.8745760275670952,0.8637917473769652,0.7809860093167383,0.8852933301418422
estrogen-beta,clf,scaffold,mat_large_pretrained,f1,5,0.7828359911663247,0.07144356951940777,0.6941270829909082,0.8715448993417413,0.7187723481941014,0.8248850774379866,0.8105515587529976,0.6585365853658537,0.8300970873786407
estrogen-beta,clf,scaffold,mat_large_scratch,roc_auc,5,0.8370072087632391,0.016196739944555474,0.8168962998858157,0.8571181176406625,0.8253095174913264,0.8505008733771842,0.8324004359025163,0.8158975726860496,0.8578831658291457
estrogen-beta,clf,scaffold,mat_large_scratch,pr_auc,5,0.8444735163272945,0.01778358908050662,0.8223922740071798,0.8665547586474092,0.8311617928838706,0.857776790332737,0.8531499065390842,0.8247469090254909,0.8645501691353937
estrogen-beta,clf,scaffold,mat_large_scratch,f1,5,0.7879290550085634,0.04735045388319491,0.7291357011231925,0.8467224088939342,0.7482323331629243,0.8200291869682248,0.802784222737819,0.711864406779661,0.8337028824833703
metstab-high,clf,scaffold,mat_large_pretrained,roc_auc,5,0.7437820121127231,0.05632834624364207,0.6738411325036364,0.8137228917218098,0.6959184659506515,0.7847512995740955,0.7450468438027952,0.6524003623188406,0.8004433606739082
metstab-high,clf,scaffold,mat_large_pretrained,pr_auc,5,0.3094283392467374,0.02287339458719709,0.2810272686711059,0.3378294098223689,0.29247157376509747,0.3271862361179678,0.2998711899874582,0.2875890846719903,0.3346108021996321
metstab-high,clf,scaffold,mat_large_pretrained,f1,5,0.08727943720447465,0.11389843497211163,-0.054144148952149196,0.2287030233610985,0.011594202898550721,0.1860300618921308,0.0579710144927536,0.0,0.2758620689655172
metstab-high,clf,scaffold,mat_large_scratch,roc_auc,5,0.6928717174047649,0.07864636993953489,0.5952193512614296,0.7905240835481003,0.6266002559214173,0.7479281364898401,0.7119490093687606,0.5697010869565218,0.7714919086677012
metstab-high,clf,scaffold,mat_large_scratch,pr_auc,5,0.2707840851865775,0.05285693776231716,0.20515352851181112,0.33641464186134384,0.22940663759019989,0.3121615327829551,0.2517771114000433,0.2212535571897814,0.3295101835852608
metstab-high,clf,scaffold,mat_large_scratch,f1,5,0.036153846153846134,0.06502161679693588,-0.04458115452791045,0.11688884683560272,0.0,0.09615384615384613,0.0,0.0,0.15
metstab-low,clf,scaffold,mat_large_pretrained,roc_auc,5,0.7109647759505362,0.022915841349740368,0.6825110007580144,0.739418551143058,0.694194467514824,0.7305343562694798,0.7069999999999999,0.6846861924686193,0.7462239271157995
metstab-low,clf,scaffold,mat_large_pretrained,pr_auc,5,0.731334400086698,0.03651720038939585,0.6859923070479926,0.7766764931254034,0.702920267602335,0.7572538430347056,0.7421729802270858,0.6750197921630675,0.7720811356436847
metstab-low,clf,scaffold,mat_large_pretrained,f1,5,0.6860951090454971,0.04239519101364386,0.6334545266668836,0.7387356914241106,0.6540531867955558,0.7174543754004622,0.6729411764705883,0.6308411214953271,0.7348484848484849
metstab-low,clf,scaffold,mat_large_scratch,roc_auc,5,0.6648281491779656,0.06163744726086905,0.5882951499729612,0.7413611483829701,0.6192234665759038,0.7168930344616753,0.6345348837209303,0.6090158551458862,0.7441620714456965
metstab-low,clf,scaffold,mat_large_scratch,pr_auc,5,0.676284658679306,0.0628533555357693,0.5982419099442399,0.7543274074143721,0.6267320155635115,0.7258373017951003,0.6678645629981201,0.6038715364324145,0.7453565619284366
metstab-low,clf,scaffold,mat_large_scratch,f1,5,0.690797070332535,0.035618008395929164,0.6465714716195903,0.7350226690454797,0.6641434028798119,0.7197371123433969,0.6861788617886179,0.6506024096385542,0.7407407407407407
