run_key,tag,model,task,task_type,split,seed,fold,roc_auc,pr_auc,f1,rmse,mae,r2,val_roc_auc,val_pr_auc,val_f1,val_rmse,val_mae,val_r2,best_epoch,epochs_run,n_params,wall_time_s,n_train,n_val,n_test,config,cfg_hash,max_epochs,patience,device,torch_version,error
rf|estrogen-alpha|scaffold|42|0|cfg2|29e6f4c405,cfg2,rf,estrogen-alpha,clf,scaffold,42,0,0.9503054806828392,0.9588155067489825,0.8905660377358491,,,,0.9684095860566448,0.963901411096141,0.907103825136612,,,,-1,0,0,16.7,1724,192,475,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",29e6f4c405,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|scaffold|42|0|cfg3|b6b0971be3,cfg3,rf,estrogen-alpha,clf,scaffold,42,0,0.9506558849955077,0.959388000361082,0.8876404494382022,,,,0.967755991285403,0.9631902384225486,0.8983957219251337,,,,-1,0,0,16.2,1724,192,475,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",b6b0971be3,60,10,cpu,2.7.0+cpu,
rf|bbbp|random|42|0|cfg7|63ba4c2c86,cfg7,rf,bbbp,clf,random,42,0,0.9219863312490912,0.9636111452019385,0.9339774557165862,,,,0.9092342342342343,0.9673978940919489,0.924901185770751,,,,-1,0,0,156.0,1405,157,391,"{""class_weight"": ""balanced"", ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",63ba4c2c86,60,10,cpu,2.7.0+cpu,
rf|bbbp|random|42|0|cfg5|71b4fb1310,cfg5,rf,bbbp,clf,random,42,0,0.9122982405118512,0.9600997702529098,0.9352750809061489,,,,0.9299549549549548,0.9771093416052282,0.9254901960784314,,,,-1,0,0,174.4,1405,157,391,"{""class_weight"": ""balanced"", ""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",71b4fb1310,60,10,cpu,2.7.0+cpu,
rf|estrogen-beta|random|42|0|cfg0|edfef33ce5,cfg0,rf,estrogen-beta,clf,random,42,0,0.94453125,0.9653531335224727,0.9094736842105263,,,,0.9528729838709677,0.9694612122833572,0.9289617486338798,,,,-1,0,0,19.1,1410,157,392,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",edfef33ce5,60,10,cpu,2.7.0+cpu,
rf|estrogen-beta|random|42|0|cfg2|29e6f4c405,cfg2,rf,estrogen-beta,clf,random,42,0,0.9373383620689655,0.9598025040821009,0.9014675052410901,,,,0.9561491935483871,0.9636737791902705,0.9281767955801105,,,,-1,0,0,20.9,1410,157,392,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",29e6f4c405,60,10,cpu,2.7.0+cpu,
rf|estrogen-beta|random|42|0|cfg1|c86bf6a1fe,cfg1,rf,estrogen-beta,clf,random,42,0,0.9445581896551724,0.96507218892786,0.9090909090909091,,,,0.9511088709677419,0.9678775019793862,0.9289617486338798,,,,-1,0,0,29.9,1410,157,392,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",c86bf6a1fe,60,10,cpu,2.7.0+cpu,
rf|estrogen-beta|random|42|0|cfg3|b6b0971be3,cfg3,rf,estrogen-beta,clf,random,42,0,0.9377963362068965,0.9600982388212482,0.9012875536480687,,,,0.956989247311828,0.9620067510124684,0.9222222222222223,,,,-1,0,0,21.7,1410,157,392,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",b6b0971be3,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|random|42|0|cfg6|8b610350e7,cfg6,rf,estrogen-alpha,clf,random,42,0,0.9624633533435711,0.958200502305247,0.8842105263157894,,,,0.9742587161942,0.971164469112118,0.9206349206349206,,,,-1,0,0,152.7,1720,192,479,"{""class_weight"": null, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",8b610350e7,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|random|42|0|cfg7|63ba4c2c86,cfg7,rf,estrogen-alpha,clf,random,42,0,0.9624808041323467,0.9574491534146529,0.8823529411764706,,,,0.9736070381231672,0.9703238232533496,0.9206349206349206,,,,-1,0,0,155.1,1720,192,479,"{""class_weight"": ""balanced"", ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",63ba4c2c86,60,10,cpu,2.7.0+cpu,
